Student,Points
b06202054,0
r07222035,0
r09245017,0
b05901010,0
b05901015,77
b05901165,0
b06901054,77
b06901062,77
b06901073,77
b06901081,77
b06901146,0
b06901170,0
b05902045,77
r08921101,0
r09921049,77
r08921060,77
r08921080,0
r09922064,77
d09943006,0
r08943149,0
r09943089,77
r09943090,77
r09943091,77
r09943095,84
r09943097,77
r09943098,77
r09943099,77
r09943100,77
r09943101,70
r09943104,77
r09943107,77
r09943108,77
r09943109,77
r09943111,77
r09943142,70
r09943146,77
r09943147,77
r09943150,77
d08943011,77
d08943012,77
r07943034,77
r08943064,70
r08943090,77
r08943098,77
r08943099,0
r08943100,77
r08943101,77
r08943103,77
r08943104,77
r08943110,0
r08943154,77
